premise,hypothesis,label,o_index,id
the girl is trotting on the horse,a girl is riding a horse,entailment,3013,5569
a man is breaking a slab of concrete with a sledge hammer,the woman is using a sledgehammer to break a concrete block that is on another man,neutral,3014,5575
a dog is barking at a ball,there is no dog barking at a ball,contradiction,3015,5580
a dog is swimming after a tennis ball,a cat is swimming after a tennis ball,neutral,3016,5582
a dog is barking at a ball,a cat is swimming after a tennis ball,neutral,3017,5584
there is no dog barking at a ball,a dog is swimming after a tennis ball,neutral,3018,5586
a dog is swimming after a tennis ball,a dog is barking at a ball,neutral,3019,5587
a woman is eating a cupcake,a woman is not eating a cupcake,contradiction,3020,5591
a girl is eating a cupcake,a woman is not eating a cupcake,neutral,3021,5593
a boy is eating a cupcake,a woman is eating a cupcake,neutral,3022,5595
there is no man spitting,a man is speaking,neutral,3023,5602
a man is talking,a man is spitting,neutral,3024,5603
there is no man speaking,a man is spitting,neutral,3025,5604
a man is playing keyboards,a man is not playing keyboards,contradiction,3026,5607
a man is riding a rodeo bull,a man is riding a mechanical bull,neutral,3027,5608
a man is falling off a mechanical bull,a man is riding a mechanical bull,neutral,3028,5609
a man is playing keyboards,a man is riding a rodeo bull,neutral,3029,5610
a man is riding a mechanical bull,a man is playing an instrument,neutral,3030,5612
a man is not playing keyboards,a man is riding a mechanical bull,neutral,3031,5613
a man is playing keyboards,a man is riding a mechanical bull,neutral,3032,5614
a man is cutting a boot with a sword,a man is cutting a boot with a blade,entailment,3033,5615
a person is severing the toe of an empty leather boot with a sword,a man is severing the toe of an empty leather boot with a sword,entailment,3034,5617
a man is severing the toe of an empty leather boot with a sword,a woman is severing the toe of an empty leather boot with a sword,neutral,3035,5618
a person is severing the toe of an empty leather boot with a sword,a man is cutting a boot with a sword,entailment,3036,5619
a woman is severing the toe of an empty leather boot with a sword,a man is cutting a boot with a sword,entailment,3037,5620
a man is severing the toe of an empty leather boot with a sword,a man is cutting a boot with a blade,entailment,3038,5621
a man is severing the toe of an empty leather boot with a sword,a man is cutting a boot with a sword,entailment,3039,5623
a chef is cleaning a bowl of soup,a bowl of soup is being cleaned by a chef,entailment,3040,5624
a man is wiping the edge of a bowl,there is no man wiping the edge of a bowl,contradiction,3041,5627
a chef is cleaning a bowl of soup,a man is wiping the edge of a bowl,neutral,3042,5632
the guitar is being played by a kid,a kid is playing the guitar,entailment,3043,5633
a kid is playing the piano,a kid is playing the guitar,neutral,3044,5634
a kid is singing and playing a guitar,a kid is playing the guitar,entailment,3045,5637
a young boy is singing and playing a guitar,a kid is playing the piano,neutral,3046,5640
a young boy is singing and playing a guitar,a kid is playing the guitar,entailment,3047,5641
someone is stirring a pot of chili with a spoon,a pot of chili is being stirred by someone with a spoon,entailment,3048,5642
nobody is stirring a pot of chili with a spoon,someone is stirring a pot of chili with a spoon,contradiction,3049,5643
someone is not stirring chili in a kettle,someone is stirring chili in a kettle,contradiction,3050,5645
someone is stirring a pot of chili with a spoon,someone is stirring chili in a pot,entailment,3051,5646
someone is stirring a pot of chili with a spoon,someone is not stirring chili in a kettle,neutral,3052,5647
a person is eating in a restaurant,a person is eating at a table,neutral,3053,5651
a man is making a bed,a person is making a bed,entailment,3054,5653
a person is not making a bed,a person is eating at a table,neutral,3055,5656
a person is making a bed,a person is eating at a table,neutral,3056,5659
the cat is licking a bottle,the dog is licking a bottle,neutral,3057,5663
a cat is playing with a small bottle,a bottle is being licked by the cat,neutral,3058,5664
the cat is licking a bottle,a cat is playing with a small bottle,neutral,3059,5668
a small dog is lying on the bed,a small animal is lying on the bed,entailment,3060,5671
a small dog is lying on the bed,a small cat is lying on a bed,neutral,3061,5676
a small dog is lying on a bed,a small dog is lying on the bed,entailment,3062,5677
a woman is cutting butter,a woman is slicing butter,entailment,3063,5678
a woman is slicing butter,a man is slicing butter,neutral,3064,5679
tofu is being sliced by a woman,a woman is slicing tofu,entailment,3065,5680
a woman is slicing butter,there is no woman slicing tofu,neutral,3066,5683
the man is playing the guitar,the man is playing the instrument,entailment,3067,5687
the person is playing with a skull,the man is playing the guitar,neutral,3068,5691
the man is playing with a skull,the man is playing the instrument,neutral,3069,5693
the man is not playing the guitar,the man is playing with a skull,neutral,3070,5694
the man is playing the guitar,the man is playing with a skull,neutral,3071,5695
some cheese is being put on a pizza by a man,a man is putting some cheese on a pizza,entailment,3072,5696
there is no man putting some cheese on a pizza,a man is putting some cheese on a pizza,contradiction,3073,5697
there is no man sprinkling cheese on the pizza,a man is putting some cheese on a pizza,contradiction,3074,5701
a man is firing a shotgun,there is no man shooting a shotgun,contradiction,3075,5710
a man is reloading a shotgun,a man is shooting a shotgun,neutral,3076,5712
a man is dancing on the floor,a man is dancing on the ceiling,neutral,3077,5717
a famous singer is dancing on the ceiling,a person is dancing on the ceiling,entailment,3078,5718
a famous singer is dancing on the ceiling,a man is dancing on the ceiling,neutral,3079,5722
hay is being eaten by a cow,a cow is eating hay,entailment,3080,5725
a cow is eating grass,a cow is not eating hay,entailment,3081,5728
a man is having lunch,a man is eating,entailment,3082,5732
a man is puking,a man is eating,neutral,3083,5733
a man is eating,a woman is dancing gracefully,neutral,3084,5736
a man is eating,a woman is sleeping,neutral,3085,5737
a woman is dancing,a man is puking,neutral,3086,5739
a man is eating,a woman is dancing,neutral,3087,5740
a baby is playing with a doll,a baby is playing with a toy,entailment,3088,5741
a baby is not playing with a doll,a baby is playing with a doll,contradiction,3089,5742
a baby tiger is playing with a ball,there is no baby tiger playing with a ball,contradiction,3090,5744
a baby tiger is playing with a ball,a baby is playing with a doll,neutral,3091,5749
the man is playing a game on a lawn,the man is playing a game on the grass,entailment,3092,5750
the man is playing a game on the grass,there is no man playing a game on the grass,contradiction,3093,5751
the rhino is grazing on the grass,the animal is grazing on the grass,entailment,3094,5752
the rhino is grazing on the grass,there is no rhino grazing on the grass,contradiction,3095,5753
the man is playing a game on the grass,there is no rhino grazing on the grass,neutral,3096,5755
the man is playing a game on a lawn,the rhino is grazing on the grass,neutral,3097,5756
the man is playing a game on the grass,the rhino is grazing on the grass,neutral,3098,5758
a woman is talking to a man,a man is talking to a woman,entailment,3099,5761
a woman is cracking eggs,a woman is breaking eggs,entailment,3100,5762
a man is talking to a woman,a woman is breaking eggs,neutral,3101,5764
a man is cracking eggs,a man is talking to a woman,neutral,3102,5765
a woman is talking to a man,a woman is cracking eggs,neutral,3103,5768
a bicycle is being ridden by a man,a man is riding a bicycle,entailment,3104,5770
a man is riding an electric bicycle,a person is riding an electric bicycle,entailment,3105,5772
a man is riding an electric bicycle,there is no man riding an electric bicycle,contradiction,3106,5773
a man is riding an electric bicycle,a bicycle is being ridden by a man,entailment,3107,5776
a man is riding an electric bicycle,a man is not riding a bicycle,contradiction,3108,5777
a cat is jumping into a container,a cat is jumping into a box,entailment,3109,5779
a boy is talking to a leaf,a young man is talking to a leaf,entailment,3110,5781
a cat is jumping into a box,a young man is talking to a leaf,neutral,3111,5787
a fish is being cut by a man,a man is cutting a fish,entailment,3112,5788
a man is slicing a fish,a woman is slicing a fish,neutral,3113,5791
a man is cutting a fish,a fish is being sliced by a man,entailment,3114,5792
a man is slicing a fish,a fish is being cut by a man,entailment,3115,5794
a person is frying some food,a person is cooking some food,entailment,3116,5797
a potato is being peeled by a person,a person is frying some food,neutral,3117,5801
a man is rowing a boat,a man is shooting with a weapon,neutral,3118,5810
a man is shooting with a bow,a man is rowing a boat,neutral,3119,5811
a man is shooting with a gun,a man is rowing a canoe,neutral,3120,5812
a man is shooting with a gun,a woman is rowing a boat,neutral,3121,5813
a woman is cutting a tomato,a woman is slicing a tomato,entailment,3122,5815
a man is cutting a tomato,a woman is cutting a tomato,neutral,3123,5816
a woman is cutting a tomato,a woman is dancing near a fireplace,neutral,3124,5819
there is no woman dancing near a fire,a woman is cutting a tomato,neutral,3125,5820
a woman is slicing a tomato,a woman is dancing near a fire,neutral,3126,5821
a man is cutting a tomato,a woman is dancing near a fire,neutral,3127,5822
a woman is cutting a tomato,a woman is dancing near a fire,neutral,3128,5823
a guitar is being played by a girl,a girl is playing a guitar,entailment,3129,5824
a girl is playing a guitar,a boy is playing a guitar,neutral,3130,5825
a guitar is being played by a man,a girl is playing a guitar,neutral,3131,5828
a girl is playing a guitar,a man is not playing a guitar,neutral,3132,5829
a man is diving off a cliff,there is no man diving off a cliff,contradiction,3133,5834
a man is riding a motorcycle,a motorcycle is being ridden by a man,entailment,3134,5835
a man is riding a motorcycle,a man is diving off a rock,neutral,3135,5839
a man is diving off a cliff,a man is riding a motorcycle,neutral,3136,5841
the man is playing the guitar,the man is playing the instrument,entailment,3137,5842
there is no man playing the guitar,the man is playing the guitar,contradiction,3138,5845
the man is playing the guitar,the person is playing the guitar,entailment,3139,5846
the man is playing the guitar,there is no man playing the guitar,contradiction,3140,5847
the man is playing the guitar,the man is playing the instrument,entailment,3141,5848
a woman is boiling noodles in water,noodles are being boiled in water by a woman,entailment,3142,5851
a woman is boiling noodles in water,a man is boiling noodles in water,neutral,3143,5852
someone is stirring noodles in the water,someone is stirring food in the water,entailment,3144,5853
a woman is boiling noodles in water,someone is stirring food in the water,entailment,3145,5855
someone is stirring noodles in the water,noodles are being boiled in water by a woman,neutral,3146,5857
a woman is boiling noodles in water,someone is stirring noodles in the water,neutral,3147,5859
the women are singing and dancing,the persons are singing and dancing,entailment,3148,5860
the women are not singing and dancing,the women are singing and dancing,contradiction,3149,5861
two women are dancing and singing in front of many people,the women are singing and dancing,entailment,3150,5864
two men are dancing and singing in front of a crowd,the women are singing and dancing,neutral,3151,5865
the women are not singing and dancing,two women are dancing and singing in front of a crowd,neutral,3152,5867
a lemur is biting a persons finger,an animal is biting someones finger,entailment,3153,5874
an animal is biting a persons finger,an animal is biting someones finger,entailment,3154,5875
a lemur is licking a persons finger,an animal is biting someones finger,neutral,3155,5876
a man is skateboarding on a half pipe,a girl is skateboarding on a half pipe,neutral,3156,5879
a skateboarder is doing acrobatics on a half pipe,a man is skateboarding on a half pipe,entailment,3157,5882
a man is skateboarding on a half pipe,a skateboarder is falling off a half pipe,neutral,3158,5883
a girl is skateboarding on a half pipe,a skateboarder is doing tricks on a half pipe,neutral,3159,5885
a skateboarder is doing tricks on a half pipe,a man is skateboarding on a half pipe,entailment,3160,5886
a big dog is running on the ground,a dog is running on the ground,entailment,3161,5887
a girl is tapping her fingernails,a boy is tapping his fingernails,neutral,3162,5890
a dog is sitting on the ground,a girl is tapping her fingernails,neutral,3163,5894
a dog is running on the ground,a girl is tapping her fingernails,neutral,3164,5895
a man and a woman are driving down the street in a jeep,two persons are driving down the street in a jeep,entailment,3165,5898
a man and a woman are driving down the street in a jeep,a man and a woman are not driving down the street in a jeep,contradiction,3166,5899
a man and a woman are driving down the road in an openair vehicle,two persons are driving down the street in a jeep,neutral,3167,5900
a man and a woman are not driving down the street in a jeep,a man and a woman are driving down the road in an openair vehicle,neutral,3168,5901
a man and a woman are driving down the street in a jeep,a man and a woman are driving down the road in a car,entailment,3169,5902
ingredients are being poured into a bowl by a woman,a woman is pouring ingredients into a bowl,entailment,3170,5905
there is no woman pouring ingredients into a bowl,a woman is pouring ingredients into a bowl,contradiction,3171,5906
the chef is seasoning the oil,the woman is seasoning the oil,neutral,3172,5907
ingredients are being poured into a bowl by a woman,the woman is seasoning the oil,neutral,3173,5911
a person is riding a horse,potatoes are being sliced by a woman,neutral,3174,5918
a person is riding a horse,there is no woman slicing potatoes,neutral,3175,5919
a woman is slicing potatoes,a person is riding a horse,neutral,3176,5922
the man is training,the man is doing exercises,neutral,3177,5923
two men are hugging,the man is doing exercises,neutral,3178,5928
two men are fighting,the man is doing exercises,neutral,3179,5931
a man is putting vegetables into a pot,someone is adding ingredients to a pot,entailment,3180,5936
nobody is pouring ingredients into a pot,a man is putting vegetables into a pot,contradiction,3181,5937
the man is standing on a rocky mountain and gray clouds are in the background,the man is standing on a mountain which is rocky and gray clouds are in the background,entailment,3182,5941
a person with a back pack who is topless is in front of a pile of rocks and clouds are in the background,a topless person with a back pack is in front of a pile of rocks and clouds are in the background,entailment,3183,5943
a topless person with a back pack is in front of a pile of rocks and clouds are in the background,a fully dressed person is behind a pile of rocks and a clear sky is in the background,neutral,3184,5944
the man is standing on a rocky mountain and gray clouds are in the background,a fully dressed person is behind a pile of rocks and a clear sky is in the background,neutral,3185,5947
the man is standing on a rocky mountain and gray clouds are in the background,a black topless person is packing a pile of rocks and a front of clouds are in the background,neutral,3186,5948
the dog is catching a ball,a dog is catching a ball,entailment,3187,5952
a dog is catching a ball,a dog is furiously chasing a ball through dirt,neutral,3188,5956
a dog is chasing a ball through dirt,a dog is catching a ball,entailment,3189,5960
a child who has blond hair is holding a yellow bottle,a blond child is holding a yellow bottle,entailment,3190,5964
a blond child is holding a yellow bottle,there is no blond child holding a yellow bottle,contradiction,3191,5965
a child who has blond hair is holding a yellow bottle,a boy in a blue shirt has dirt on his face,neutral,3192,5966
a boy in a blue dyed shirt has dirt on his face,a blond child is holding a yellow bottle,neutral,3193,5968
a blond child is holding a yellow bottle,a boy has a blue face and dirt on the shirt,neutral,3194,5970
the man in a hat suited for cowboys is walking through a market and is putting a hand in his pocket,the man in a cowboy hat is walking through a market and is putting a hand in his pocket,entailment,3195,5975
the man in a cowboy hat is walking through a market and is putting a hand in his pocket,the man in a cowboy hat is not walking through a market and is not putting a hand in his pocket,contradiction,3196,5976
the man in a hat suited for cowboys is walking through a market and is putting a hand in his pocket,a man in a hat is walking through a store,entailment,3197,5977
a man in a hat is walking through a store,the man in a cowboy hat is not walking through a market and is not putting a hand in his pocket,neutral,3198,5978
a man in a hat is pacing through a store,the man in a cowboy hat is walking through a market and is putting a hand in his pocket,neutral,3199,5979
a man in a hat is walking through a store,the man in a cowboy hat is walking through a market and is putting a hand in his pocket,neutral,3200,5982
a large white crane is flying near the water,a crane which is large and white is flying near the water,entailment,3201,5983
a white bird is swiftly taking off from the water,a white bird is landing swiftly in the water,neutral,3202,5986
the land near a white bird is being watered swiftly,a white bird is landing swiftly in the water,neutral,3203,5987
the white bird is landing swiftly in the water,a large white crane is flying near the water,neutral,3204,5988
a large white crane is flying near the water,a white bird is swiftly taking off from the water,neutral,3205,5989
the land near a white bird is being watered swiftly,a large white crane is flying near the water,neutral,3206,5990
a white bird is landing swiftly in the water,a crane which is large and white is flying near the water,neutral,3207,5991
a large white crane is flying far above the water,a white bird is landing swiftly in the water,neutral,3208,5992
a dog with golden fur is in the water,a dog with a golden coat is in the water,entailment,3209,5996
a dog with golden fur is in the water,a brown dog is calmly standing in the water,neutral,3210,6000
the girl is carrying a sign and a group of people is following her,the girl is carrying a sign and is being followed by a group of people,entailment,3211,6006
the girl is carrying a sign and a group of people is following her,the girl is not carrying a sign and no group of people is following her,contradiction,3212,6007
one man in a big city is holding up a sign and begging for money,a man in a big city is holding a sign and begging for money,entailment,3213,6014
a man in a big city is holding a sign and begging for money,a man in a small city is doing charity work,neutral,3214,6015
a homeless man is holding up a sign and is begging for money,a homeless man is holding up a sign and is pitifully begging for money,entailment,3215,6017
a man in a big city is holding a sign and begging for money,a homeless man is putting down a sign and refusing some charity,neutral,3216,6020
a homeless man is holding up a sign and is begging for money,a man in a small city is doing charity work,neutral,3217,6022
a dog is chasing the tail of an animal in the grass,the tail of an animal is being chasing by a dog in the grass,entailment,3218,6027
a dog is walking away from the tail of an animal in the grass,a dog is chasing the tail of an animal in the grass,neutral,3219,6028
a small dog is chasing a large brown cow,the tail of an animal is being chasing by a dog in the grass,neutral,3220,6029
a small dog is chasing a large brown cow,a dog is walking away from the tail of an animal in the grass,neutral,3221,6030
there is no small dog chasing a large brown cow,a dog is chasing the tail of an animal in the grass,neutral,3222,6032
the small child is wading through the water and is being guided by another person,the small child is not wading through the water and is not being guided by another person,contradiction,3223,6035
a young child is splashing in the water,there is no young child splashing in the water,contradiction,3224,6037
a young child is watering a plant with splashes,a young child is splashing in the water,neutral,3225,6038
the small child is wading through the water and is being guided by another person,a young child is watering a plant with splashes,neutral,3226,6041
the small child is wading through the water and is being guided by another person,a young child is splashing in the water,neutral,3227,6044
a woman is looking curiously at a man,a man is being curiously looked at by a woman,entailment,3228,6045
a woman is looking curiously at a man,a man and a woman are outside and are wearing light colored shirts,neutral,3229,6050
a man is being curiously looked at by a woman,a man and a woman are in a beige room wearing dark colored shirts and a monitor is in the background,neutral,3230,6051
a woman is ignoring a man,a man and a woman are in a beige room wearing dark colored shirts and a monitor is in the background,neutral,3231,6052
a woman is looking curiously at a man,a man and a woman are in a beige room wearing dark colored shirts and a monitor is in the background,neutral,3232,6053
the little dog is grabbing the bedroom slipper with its mouth funnily,the little dog is grabbing the bedroom slipper with its mouth,entailment,3233,6054
a brown dog is looking closely at a brown and white dog,a brown dog is staring attentively at a brown and white dog,entailment,3234,6056
a brown dog is staring attentively at a brown and white dog,the little dog is grabbing the bedroom slipper with its mouth funnily,neutral,3235,6060
a brown dog is staring attentively at a brown and white dog,the little dog is dropping the bedroom slipper from its mouth,neutral,3236,6061
a person in a blue jacket is jumping off of a tall cement wall,a person in a blue colored jacket is jumping off of a tall cement wall,entailment,3237,6065
a person in a blue colored jacket is jumping off of a tall cement wall,the man is performing a large jump,neutral,3238,6068
a person in a blue jacket is jumping off of a tall cement wall,the man is not performing a large jump,neutral,3239,6072
a woman in jeans is sitting on the saddle of a horse,a woman in jeans is standing near a horse with a saddle,neutral,3240,6075
a person wearing jeans is sitting on top of a horse saddle,there is no person wearing jeans sitting on top of a horse saddle,contradiction,3241,6077
the woman in jeans is sitting on the saddle of a horse,a person wearing jeans is sitting on top of a horse saddle,entailment,3242,6080
a woman in jeans is sitting on the saddle of a horse,a person wearing jeans is sitting on top of a horse saddle,entailment,3243,6082
the brown dog and the red dog are frolicking on the beach,a brown dog and a red dog are frolicking on the beach,entailment,3244,6083
a brown dog and a red dog are sitting sadly on the beach,a brown dog and a red dog are frolicking on the beach,neutral,3245,6084
the brown dogs are playfully fighting on the sandy beach,the brown dogs are playfully fighting on the sandy shore,entailment,3246,6085
the brown dogs are playfully fighting on the sandy beach,the brown dogs are not playfully fighting on the sandy beach,contradiction,3247,6086
the brown dogs are not playfully fighting on the sandy beach,a brown dog and a red dog are frolicking on the beach,neutral,3248,6088
the man is standing steadily next to a birdcage,the man is standing next to a bird cage,entailment,3249,6092
the man is sitting next to a birdcage,the man is standing next to a bird cage,neutral,3250,6093
there is no man standing beside a large and colorful birdcage,a man is standing beside a large and colorful birdcage,contradiction,3251,6095
a man is standing beside a birdcage which is large and colorful,the man is standing next to a bird cage,entailment,3252,6096
the man is standing steadily next to a birdcage,a man is standing beside a large and colorful birdcage,neutral,3253,6098
a man is standing beside a large and colorful birdcage,the man is sitting next to a birdcage,neutral,3254,6099
one brown and black dog is running through the leaves,a brown and black dog is running through the leaves,entailment,3255,6101
a brown and black dog is running through the leaves,a dog and a black man are running through brown leaves,neutral,3256,6103
a dog in a colored coat is running swiftly across the yard,a dog in a colored coat is running across the yard,entailment,3257,6104
there is no dog in a colored coat running across the yard,a dog in a colored coat is running across the yard,contradiction,3258,6105
a dog in a colored coat is running across the yard,a dog in the yard is running across colored coats,neutral,3259,6106
a brown and black dog is running through the leaves,there is no dog in a colored coat running across the yard,neutral,3260,6108
a dog in the yard is running across colored coats,a brown and black dog is running through the leaves,neutral,3261,6109
a dog in a colored coat is running across the yard,a dog and a black man are running through brown leaves,neutral,3262,6112
a black and white dog is holding a baseball in its mouth,a black and white dog is dropping a baseball from its mouth,neutral,3263,6117
a dog which has a brown and white coat is holding a baseball in its mouth,a black and white dog is holding a baseball in its mouth,neutral,3264,6120
a black and white dog is holding a baseball in its mouth,a brown and white dog is holding a baseball in its mouth,neutral,3265,6122
a boy wearing red shorts is jumping into a paddling pool,a kid wearing red shorts is jumping into a paddling pool,entailment,3266,6123
a boy who looks young and is wearing a red swimsuit is jumping into a blue kiddies pool,a boy wearing red shorts is jumping into a paddling pool,neutral,3267,6127
a boy wearing red shorts is jumping into a paddling pool,a young boy wearing a red swimsuit is jumping out of a blue kiddies pool,neutral,3268,6128
a group of dogs are resting without muzzles,a group of dogs are racing and have muzzles on their noses,neutral,3269,6133
a group of racing dogs is wearing striped uniforms and is running down a track,a group of dogs bred for racing is wearing striped uniforms and is running down a track,entailment,3270,6135
a group of racing dogs is wearing striped uniforms and is running down a track,there is no group of racing dogs wearing striped uniforms and running down a track,contradiction,3271,6136
a group of dogs are racing and have muzzles on their noses,a group of dogs bred for racing is wearing striped uniforms and is running down a track,neutral,3272,6137
two people are walking near the water,two people are wading through the water,neutral,3273,6144
two people are standing in the ocean and watching the sunset,two people are standing in the ocean and looking at the sunset,entailment,3274,6145
two people are standing in the ocean and looking at the sunset,two people are wading through the water,entailment,3275,6147
two people are walking near the water,two people are standing in the ocean and watching the sunset,neutral,3276,6150
a race car driver is standing up and is fiercely pointing his hand at the sky,a race car driver is standing up and pointing his hand at the sky,entailment,3277,6152
the person in the blue jacket is wearing a colorful helmet,a person in a blue jacket is wearing a colorful helmet,entailment,3278,6154
the person in the blue jacket is putting down a colorful helmet,the person in the blue jacket is wearing a colorful helmet,neutral,3279,6155
a race car driver is standing up and pointing his hand at the sky,the person in the blue jacket is putting down a colorful helmet,neutral,3280,6157
the person in the blue jacket is wearing a colorful helmet,a race car driver is sitting down and is motionless,neutral,3281,6159
a race car driver is standing up and pointing his hand at the sky,the person in the blue jacket is wearing a colorful helmet,neutral,3282,6160
a boy and a girl in swimsuits are wearing arm floats,a boy and a girl in swimsuits are wearing floats for their arms,entailment,3283,6161
the boy and the girl are playing and wearing arm floats,the boy and the girl are not playing and wearing arm floats,contradiction,3284,6164
a boy and a girl in swimsuits are wearing arm floats,the boy and the girl are playing and wearing arm floats,neutral,3285,6169
a woman in a yellow dyed shirt is surfing on a pink surfboard,a woman in a yellow shirt is surfing on a pink surfboard,entailment,3286,6170
a woman in a yellow shirt is surfing on a pink surfboard,there is no woman in a yellow shirt surfing on a pink surfboard,contradiction,3287,6171
a surfer is falling off the wave,a surfer is riding the wave,contradiction,3288,6174
a surfer is riding the wave,a rider is waving at a surfer,neutral,3289,6175
the wave is being ridden by a surfer,a woman in a yellow shirt is surfing on a pink surfboard,neutral,3290,6176
a rider is waving at a surfer,a woman in a yellow shirt is surfing on a pink surfboard,neutral,3291,6178
a woman in a yellow dyed shirt is surfing on a pink surfboard,a surfer is riding the wave,entailment,3292,6179
a surfer is riding the wave,there is no woman in a yellow shirt surfing on a pink surfboard,neutral,3293,6180
four people are sitting on a low cement ledge,some people are sitting on a low cement ledge,entailment,3294,6183
the group of people is sitting on a ledge which is rocky and a scenic view is behind them,the group of people is sitting on a rocky ledge and a scenic view is behind them,entailment,3295,6185
the group of people is sitting on a rocky ledge and a scenic view is behind them,the group of people is not sitting on a rocky ledge with a scenic view behind them,contradiction,3296,6186
the group of people is sitting on a ledge which is rocky and a scenic view is behind them,four people are sitting on a low cement ledge,neutral,3297,6187
the group of people is not sitting on a rocky ledge with a scenic view behind them,four people are sitting on a low cement ledge,neutral,3298,6188
the group of people is sitting on a rocky ledge and a scenic view is behind them,four people are sitting on a low cement ledge,neutral,3299,6191
two girls are laughing and other girls are watching them,there is no girl laughing and there is no other girl watching,contradiction,3300,6193
a group of asian girls are standing together,the group of asian girls are standing together,entailment,3301,6194
a group of asian girls are standing by themselves,a group of asian girls are standing together,entailment,3302,6195
a group of asian girls are standing by themselves,two girls are laughing and other girls are watching them,neutral,3303,6197
a group of asian girls are standing together,two girls are laughing breathlessly and other girls are watching them,neutral,3304,6198
there is no girl laughing and there is no other girl watching,a group of asian girls are standing together,neutral,3305,6199
a group of asian girls are standing together,two girls are laughing and other girls are watching them,neutral,3306,6200
a bicyclist is holding a bike over his head in a group of people,a lone bicyclist is putting down a bike,contradiction,3307,6202
a cold cyclist is celebrating,there is no cold cyclist celebrating,contradiction,3308,6205
something is being celebrated by a cold cyclist,a bicyclist is holding a bike over his head in a group of people,neutral,3309,6206
a cold cyclist is celebrating,a bike is being held over his head by a bicyclist in a group of people,neutral,3310,6208
a lone bicyclist is putting down a bike,a cold cyclist is celebrating,neutral,3311,6209
a cold cyclist is celebrating,a bicyclist is holding a bike over his head in a group of people,neutral,3312,6211
a man is sitting peacefully on a boat in front of the sunset near a flag,a man is sitting on a boat in font of the sunset near a flag,entailment,3313,6212
a man is on a ship in front of the sunset,a man is on a boat in front of the sunset,entailment,3314,6214
there is no man on a boat in front of the sunset,a man is on a boat in front of the sunset,contradiction,3315,6215
a man is sitting peacefully on a boat in front of the sunset near a flag,a man is on a boat in front of the sunset,entailment,3316,6218
the crowd is not watching two racing cars that are leaving the starting line,the crowd is watching two racing cars that are leaving the starting line,contradiction,3317,6224
the crowd is watching two cars designed for racing that are leaving the starting line,people at a drag race are looking at the flames that are coming out of the cars,neutral,3318,6225
a big dog and a small white dog are playing together,a big dog and a small dog with a white coat are playing together,entailment,3319,6232
a big dog and a small white dog are walking past each other,a big dog and a small white dog are playing together,neutral,3320,6233
two dogs are playing together on the grass,a big dog and a small dog with a white coat are playing together,neutral,3321,6234
two dogs are cheerfully playing together on the grass,a big dog and a small white dog are playing together,neutral,3322,6236
a dog which is brown is jumping in the air,a brown dog is jumping in the air,entailment,3323,6239
a malnourished looking dog is standing on its hind legs and preparing to jump,the malnourished looking dog is standing on its hind legs and is preparing to jump,entailment,3324,6241
a healthy looking dog is lying on the ground,a malnourished looking dog is standing on its hind legs and preparing to jump,neutral,3325,6242
the malnourished looking dog is standing on its hind legs and is preparing to jump,a brown dog is jumping in the air,neutral,3326,6243
a brown dog is sitting down,a malnourished looking dog is standing on its hind legs and preparing to jump,neutral,3327,6246
the cop is sitting on a police bike,the cop is sitting on a police bicycle,entailment,3328,6248
the cop is not sitting on a police bike,the cop is sitting on a police bike,contradiction,3329,6249
a policeman is sitting tiredly on a motorcycle,a policeman is sitting on a motorcycle,entailment,3330,6250
a policeman is sitting tiredly on a motorcycle,the cop is sitting on a police bike,entailment,3331,6253
a policeman is sitting on a motorcycle,the cop is sitting on a police bike,entailment,3332,6258
two women are wearing bikinis on the sandy beach,two women are wearing bikinis on the beach which is sandy,entailment,3333,6259
two women are wearing bikinis on the sandy beach,two women are wearing bikinis and walking on the sand,neutral,3334,6263
two women are wearing bikinis and are walking on the sand,there are no women wearing bikinis on the sandy beach,contradiction,3335,6266
two women are wearing bikinis and are walking on the sand,two women are wearing bikinis on the sandy beach,entailment,3336,6267
a dog with a golden coat is swimming clumsily through the water,a dog is swimming in a lake and the sun is shining on him,neutral,3337,6272
a black dog is sitting in the grass and keeping its mouth closed,a black dog is running in the grass and its tongue is hanging out,contradiction,3338,6278
a black dog is hanging out in the grass and running with its tongue out,a black dog is running in the grass,entailment,3339,6286
the cheerleaders are parading and wearing uniforms which are black pink and white,the cheerleaders are parading and wearing black pink and white uniforms,entailment,3340,6288
a large group of cheerleaders is walking in a parade,many cheerleaders are walking in a parade,entailment,3341,6290
a large group of cheerleaders is walking in a parade,there is no large group of cheerleaders walking in a parade,contradiction,3342,6291
many cheerleaders are walking in a parade,the cheerleaders are parading and wearing black pink and white uniforms,neutral,3343,6292
there is no large group of cheerleaders walking in a parade,the cheerleaders are parading and wearing black pink and white uniforms,neutral,3344,6293
a large group of cheerleaders is walking in a parade,the cheerleaders are not parading and are not wearing black pink and white uniforms,neutral,3345,6295
the man is sitting outside under a purple umbrella,the man is sitting outdoors under a purple umbrella,entailment,3346,6297
a shoeless woman is sitting on a blanket under a lavender umbrella,a woman who is shoeless is sitting on a blanket under a lavender umbrella,entailment,3347,6299
a shoeless woman is sitting on a blanket under a lavender umbrella,a shoeless woman is standing over a blanket near a lavender umbrella,neutral,3348,6300
a woman who is shoeless is sitting on a blanket under a lavender umbrella,the man is sitting outside under a purple umbrella,neutral,3349,6301
