premise,hypothesis,label,original_index
An opposing wrestler is jumping off the top ropes onto another wrestler.,Two wrestlers are shown.,entailment,448699
Skier coming down a very steep snow peak.,A person is skiing down a tall snow peak.,entailment,386171
Person skiing on white snow near a red flag.,the person is naked,contradiction,459134
Man trying to pick up reluctant girl on street.,A man and a girl are on the street.,entailment,114857
Dog waits for food as an elder woman is cooking on the stove.,The elderly lady is hugging the dog.,contradiction,39506
Six firemen climbing in a tree.,The firemen are hard at work.,neutral,148722
a vase of red roses with a man cutting hair in the background.,There is more than one rose.,entailment,289735
The nuptials are celebrated with rose petals.,The nuptials are celebrated with red petals.,neutral,224536
Sparks flying behind a pipe.,A man is welding and the sparks are flying behind a pipe.,neutral,34425
Two native american women with headdress and jewelry.,Two women are dressed in ethnic garb.,entailment,240450
Coworkers are working on a projects at tables.,Students are scribbling notes on desks,contradiction,74611
Four ballerinas dancing on the stage.,The ballerinas are performing on stage.,entailment,493618
A geometrically decorated human pull cart stops next to a Coca Cola cart on the beach.,A human pulled cart through the streets of china.,contradiction,263343
A laborer is using a hammer and chisel to make carvings into wood.,The man is using a hammer and chisel to carve butter.,contradiction,204062
"Two referees sit on park equipment at the edge of a sports field, surrounded by a red paved track.",The referees are sitting outside.,entailment,157902
Women chatting at an event outside.,a woman at an event for breast cancer,neutral,258976
The students are preparing food in the kitchen.,the teachers are eating,contradiction,58579
Evening commuters walk past buses lining a city street.,The people walk past buses to get to work.,neutral,490948
Paying respect by praying in the chapel.,People praying to God.,entailment,174191
Fat people are making food in a kitchen.,People are making pancakes.,neutral,391838
Motorcycle pulls bicycle.,Motorcycle pulls yellowbicycle.,neutral,200667
a deer and several turkeys together in the snow,Some wildlife out in the snow.,entailment,166689
Young sheep in the grass.,Animals in the grass.,entailment,367881
3 gentleman look at a bike that's turned upside down.,the men are mafia,neutral,471170
The leashed dog is looking over the stone wall.,Woman walking her pet pig.,contradiction,138050
"The gray, blue eyed hound puppy is laying on a blue carpet chewing on a toy.",The puppy is sleeping.,contradiction,498874
"Two boats, one loaded with people, are getting ready to launch into a muddy river.",Boats loaded with people are on the muddy river.,entailment,30295
Boy reaches up while in pool.,Boy playing diving games in pool.,neutral,43043
A canoe of children is floating in the water with one boy rowing.,a canoe is floating,entailment,3891
two country musicians jamming it up.,Two people are sleeping.,contradiction,514050
Beautiful day to play fetch with dog while relaxing on the dock at the lake.,It is nighttime.,contradiction,478195
Spelunkers pose inside a rock cavern while bathed in sunlight from the surface.,Spelunkers pose inside a rock cavern while bathed in mist.,contradiction,28850
Three having a humorous conversation outside on the sidewalk.,The people are young.,neutral,526058
A dump truck is unloading rocks while 3 people watch between two buildings.,A dump truck is unloading rocks while 3 people watch between two old buildings.,neutral,536765
A fish sellers stock is looked upon by two old men.,Two old men admire a fish sellers stock of fish.,entailment,475097
People clap as a well dressed man and woman walk through a room holding hands.,The crowd claps at the couple holding hands.,neutral,36564
Man gets in a canoe and gets on top of the diving board.,A man is sitting indoors,contradiction,38045
A oriental child of approximately 3 years of age is blowing on a toy and she is wearing green bracelets.,A 3 year old boy is playing with a toy.,entailment,17874
Motorcycle rider riding a wheelie while sticking legs out.,A motor cycle rider pumping gas.,contradiction,190832
man standing against blue wall with shirt on head,man quietly standing against blue wall with shirt on head,entailment,13326
A sideshow barker on a small stage on the sidewalk trying to call in customers.,A man is frightening customers away.,neutral,456424
Artist putting the finishing touches on wall mirage.,Artist uses brown paint.,neutral,338670
A skull of rowers on a lake.,People are on the lake.,entailment,199243
Two olympians compete in the women's mixed martial arts event.,The two olympians both dropped out of the mixed martial arts event.,contradiction,251633
People attend a gathering at a house.,They are in a corn maze.,contradiction,490533
A sleepy mother tries to keep up with her kid.,The woman is sleepy.,entailment,74986
Adorable blond-hair little girl posing for her Daddy while he takes her picture.,A blonde haired girl is posing for the camera at the zoo.,neutral,13893
Surgeons are operating in a hospital.,Tall humans operating,neutral,469551
"An icy, snowy city street with a bike resting against a pole.",It is very cold outside.,entailment,534815
Four of the same man in the same room.,The men all look alike.,neutral,149163
A jacketed man with his back to the camera is overlooking the water.,Two small boys are washing dad's car.,contradiction,75316
Shoppers walking across the street in a city.,Many shoppers were attracted to the annual blowout sale.,neutral,282169
People tend a greenhouse with garden tools.,the garden tools are in the green house,entailment,455143
A diver is getting ready to take on the water.,The man is fishing on a boat.,contradiction,152398
"It was a packed stadium, and an action packed game, as the two teams fought for the ball.",The teams are playing football in a stadium.,neutral,431880
A hectic race between cowboys at the rodeo.,The cowboys are racing on bulls,neutral,270624
"A men's track meet with eight competitors, every other runner wearing orange.",A men's track meet with eight snakes as competitors,contradiction,362858
Tourists waiting at a train stop.,Tourist walking around an art museum.,contradiction,498
A harnessed dog leaps over a log as another dog follows behind.,The dog is walking.,contradiction,311430
"three workman working together, one is drilling the wood",Three men are building furniture.,neutral,265632
A fighter is declared the winner after the conclusion of a martial arts event.,A fighter wins his event.,entailment,510529
four worker are constructing a scaffold.,Four people are constructing a scaffold,entailment,390237
A beagle walking on the beach next to some waves.,A dog walks on the sand during the day.,neutral,356434
Two beautiful women dancing in their native culture.,Two women dance.,entailment,309444
Street in Europe where a group of men are sitting on their motorcycles.,A group of men sitting on a quiet European street on their motocrycles as others slowly pass by.,entailment,535875
Teenage girl volunteering to help with some dirty work.,Teenage girl shopping at the mall.,contradiction,484751
People cross a busy city street.,People are attacking one another in a park.,contradiction,491835
Males and females walking into a building with formal attire.,Couples are attending a fancy dinner event.,neutral,54802
Boats on water within a city.,The boats are sitting in dry dock.,contradiction,542782
Two parasailors on one parasail landing on a sandy beach in front of a large rocky boulder and the water.,There are two parasailors who will land on the beach,entailment,405288
A troop in mustard colored uniform marching behind a troop leader holding a sword.,Troops march together at the training camp.,neutral,226226
Political demonstrators picket.,An unrest.,entailment,211023
husband and wife heading up the hill to go to the swimming hole.,They are wearing swim suits.,neutral,528631
People watch as a man in an orange shirt holds someone with a baboon mask over his head.,Man running in a Marathorn,contradiction,50811
A slam dunk performed at a basketball game.,nobody is going to play basketball at a basketball game.,contradiction,474644
Wolf-like dog chasing white wiffle ball through a green field.,An elephant is running through the city.,contradiction,34849
Street view of the Orient Hotel.,The picture is of the desert.,contradiction,162251
People studying a display.,The people look at a display.,entailment,389614
"A modest popcorn cart with the Spanish text ""El Rey de las Palomitas"" and a yellow umbrella is attended by a woman at night in a city scene.",The woman is selling popcorn to afford college for her children.,neutral,167308
Skiers and snowboarders warm themselves by the fire while they talk.,People are barbecuing steaks.,contradiction,200815
Three shirtless men sitting on a wall next to water.,The men are lifeguards.,neutral,111158
A bronze street performer pretends to make a movie while a confused boy watches.,A woman is holding a fake camera while a young boy is observing her.,neutral,532632
Rescue worker at work on a dock.,A guy works on opening a crate on a dock.,neutral,101305
Two religious men glancing off to their right while standing in front of a church.,Two Jewish men glancing off to their right while standing in front of a church.,neutral,437513
Two nude women painted black and white are riding bicycles on the road.,"A cat with three kittens, snuggles into a box full of warm blankets.",contradiction,254225
A troupe of acrobats in white pose on wires.,A bunch of acrobats are standing on some wires.,entailment,334003
Hockey player in white and a hockey player in red fighting over the puck.,The football players are playing the fourth quarter.,contradiction,349124
Many concertgoers lean happily toward the camera and smile.,The concertgoers were all sad because the concert got cancelled.,contradiction,398139
The long black shadow casts a image on the rock while the young girl climbs the rock.,A girl is outside.,entailment,535473
"Two skiers, a young boy and an older woman, on a ski slope.",The young boy is being taught skiing lessons by the older woman.,neutral,137825
Four band members play on a red stage in front of a big heart.,Four band members sit and cry about their broken instruments.,contradiction,167548
"Through windows into a building, we see on one floor people eating at a nice restaurant, while on the floor below we see a working man looking out at us from where he kneels between shelves and boxes.",The building has more than one floor.,entailment,99293
This brown and white dog is chasing a soccer ball.,A dog playing with a soccer ball.,entailment,210812
Four professional looking men are standing in front of a coffee stand.,The coffee stand is closed.,contradiction,354795
female tennis player wearing yellow shorts.,female tennis player wearing yellow shorts serves the ball.,neutral,453714
Children drinking from juice cartons.,The children are drinking.,entailment,129241
Large crowds of people are gathered on both sides of a river.,Small crowds of people are gathered on both sides of a river.,contradiction,136275
White horse hauling a huge pile of hay.,A horse hauls the last load of hay to the barn.,neutral,516474
"Two couches that face each other are separated by a small table covered with newspapers, booklets, and magazines.",There is furniture in the picture.,entailment,524930
"Men stand by the road, where construction is being done on the corner in a small suburban area.",Men standing in a big city,contradiction,151973
Laying on a couch in Ikea,Some people are standing around a couch in Ikea.,contradiction,410640
"A furry, tan dog is outside on a patio.",A dog is outside.,entailment,434356
am construction worker is working on metal beams.,A work at the site.,entailment,65941
Six males playing a game in the sand with wooden paddles.,Six men are playing a game of Crickett.,neutral,506894
"Obese man in floral summer swim trunks and wearing beach sandals, gets ready to ride his red motorbike.",It is very warm outside.,entailment,163294
A pony-tailed man in a yellow jacket is wearing a bicycle helmet.,A pony-tailed man in a red jacket is lying on the ground wearing a top hat.,contradiction,494959
two Asian girls climbing the jungle gym.,two Asian girls are in the jungle gym.,entailment,152767
Two husky little boys in black dress shirts with longish haircuts stand behind the seated woman in the white blouse.,Two adult men sit by a women.,contradiction,183052
vegetables on a stand with people waking around in the background.,People are walking.,entailment,354151
"Five adults, three men and two women, in casual attire are applauding during what appears to be recognition of a group participating in some sort of event.",The people are quiet and watching the event.,contradiction,12294
An Ozzy Osbourne fan considers his breakfast.,Ozzy Osbourne's fan just woke up and is hungry.,entailment,310298
This brown pitbull is carrying a soccer ball in his mouth.,The pitbull is learning to fetch.,neutral,8666
One gymnast performing an acrobatic maneuver.,A gymnast is performing a flip.,neutral,366440
a buyer chooses fruit from an outdoor fruit stand,A person is about to buy a chicken.,contradiction,43561
"Foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",Foreign folk dancers are dressed in bright outfits while dancing in the street for an audience.,entailment,528308
Female US soldier aiding elderly women,Two men are engaged in a brutal match of Jenga.,contradiction,69462
A lit food cart is parked on the street at dusk.,A lit food cart is parked in a vacant lot,contradiction,362193
"Miami and Clemson playing a basketball game, one player about to lay the ball in",Two friends are playing basketball during their school break.,neutral,119652
Landscapers are planting a flower bed.,People planting flowers.,entailment,442934
Three Sailboats going down waterway of a tropical smooth water area.,A sailboat race is happening on smooth waters,neutral,185310
Skier doing a 360 degree flip in the air.,the sun is beaming down on the beach,contradiction,357961
A High School band is marching down a crowded street wearing kilts.,A Scottish high school marching band.,neutral,33567
One teenage guy doing a trick over a flight of stairs on a skateboard.,a human outside,entailment,303107
"two individuals wearing sparring gear, fence at a match while a Northwestern Wildcats banner hangs behind them.","Two people are fencing, getting ready for the wildcats fencing tounry.",neutral,524251
Man seated on a bus looking out the window at pedestrians.,Man riding bus notices his friend outside walking on the street.,neutral,335457
Child standing on the dock looking out onto the water as a boat passes by,The child is wearing a life jacket.,neutral,462777
"Caucasian holding a musical instrument, Wearing a green scarf.",A white man is  Wearing a green scarf.,neutral,181495
An unusual looking vehicle parked i front of some stores.,A vehicle wrecking into stores.,contradiction,70787
"Group in parade, singing, holding banner and walking.",The shriners are here!,contradiction,410827
Grandmother and granddaughter share a precious moment as mom looks on.,The two are best friends,neutral,375123
Cheerleaders at a sporting event toss a girl high up into the air.,Cheerleaders are all standing on the sidelines.,contradiction,504196
"A resting security guard, in a blue shirt, sitting on a stool.",A security guard standing on a stool.,contradiction,218078
Cyclists await the start of a race.,Cyclists are waiting,entailment,377704
Professional tennis player preparing to make her serve during a game.,A professional tennis player is playing her favorite opponent.,neutral,312917
twos small brown monkeys on a wall fighting with each other.,The two monkeys are siblings.,neutral,524951
Passengers on a moving train.,Passengers on a Murder Mystery train ride wait to see how the story develops.,neutral,368828
Fishermen cast nets from dugout canoes into the water.,Fishermen are fishing in a lake.,neutral,443971
Worker wears a mask to protect his face from spicy chili fumes.,A food worker wears a mask.,entailment,206182
Seven firefighters are looking up at a building.,The structure is on fire.,neutral,264777
His gray clothes blended in with the stainless steel appliances of the cafeteria's kitchen.,A worker's uniform blends in with the steel.,neutral,408164
Five Asians have gathered for dinner at a table near a fire pit.,The five people are African american,contradiction,56134
"lot of cars on the street, and one man on the bicycle.",The man on the bicycle is going to get hit by a car.,neutral,288907
Boy drinking from a green bottle with girl in purple sweater watching.,Boy is drinking beer from a green bottle,neutral,425857
Dogsled rider pulled past flags on snowy hill.,The flags are red.,neutral,151911
A tortoise attempts to eat a berry.,A tortoise feeding on a berry.,entailment,63255
A skull of rowers on a lake.,A group of male rowers are on the lake.,neutral,199244
Two canooers paddle through some rapids.,People are professional water rapid riders.,neutral,154337
"A bulldog, a sheepdog, and a boxer standing in a yard.",3 dogs are standing together.,entailment,500165
Someone tosses a bowling ball down a lane while 2 others watch.,The people are cold.,neutral,490141
Skiiers race in the snow.,"Skiers wearing red, white, and green outfits are racing down a black diamond course.",neutral,53038
"Two window-washers clean windows on the side of a building, reflected in the blue-tinted glass.",two men install glass on a buildign,contradiction,358420
Three BMX riders crossing a power ramp# 2 in front with onlooker.,the bikers are asleep,contradiction,210152
The waiter with a white shirt and black vest is waiting on the people in the restaurant with a big mirror in the wall.,a mirror is constructed for scientific use in a lab,contradiction,130044
A robust man with his mouth open in a white shirt and glasses holding a drink near other people.,A robust man is drinking a beer.,neutral,324435
Children stretch outside.,Children stretch outside before exercising.,neutral,24100
Snowboarder is standing on his board while the crowd watches him.,A man is sitting on his bike.,contradiction,499523
Young injured veterans in wheelchair and their able bodied mates.,Disabled person and friends.,entailment,538646
"Stone building wall with graffiti painted near the bottom, 2 people also near the wall.",workers are on strike today,contradiction,388010
a kickboxer jumping for a kick,woman has an umbrella,contradiction,398435
"A surfer, with his board secured to his leg, prepares to take a dive into the wave he surfs.",A surfer has his board attached to his leg.,entailment,440649
busy market at nighttime,There are neon signs in the market.,neutral,527469
Two Oklahoma Sooner football players talk on the sideline.,A pickle riding a cat.,contradiction,310201
photographer working in the wild,A photographer is outside.,entailment,435483
Orange motorcycle racing around a bend in a racetrack.,A motorcycle is being driven on a track.,entailment,164496
a soldier crouches beside a tank with a larger vehicle obscured in the background.,A soldier is playing basketball.,contradiction,97688
Bikini-clad female at the beach doing a cartwheel.,There is a woman near the water.,neutral,9652
Traveler taking a break to stretch after a long night of travel.,A tourist spends the day at the beach.,contradiction,60266
Some in a group of young students sitting on a rug are raising their hands.,A group of kids are clapping their hands.,contradiction,451166
"Person flying in air wearing sandals, goggles, and wind suit.",A person soars through the sky.,entailment,117446
women spiking playing beach volleyball in london olympics,Toboggan racing at winter Olympics in Italy.,contradiction,280031
Welders working at night with sparks flying.,The welders are working with machines.,entailment,58911
what looks like a homeless man plays the guitar whole sitting outside.,The homeless looking man is playing music.,entailment,523225
The painter in the white hat is painting a mural.,A painter paints a picture.,entailment,166863
"Six ballet dancers, three men and three women, perform on stage.",Some people playing on ground.,contradiction,93329
Customers wait in line while the workers in green shirts help them.,The customers refused service from the workers in green shirts.,contradiction,340288
Uh oh. Looks like baby threw something in the water,The bbaby is sleeping.,contradiction,488457
Bikers in a bike race take a sharp left turn.,The motorcycles are jumping over cars.,contradiction,492310
Blurry view of a woman in black shirt on the phone in her office.,The woman is baking a cake in her home.,contradiction,337922
Child cranking an old fashioned egg beater.,Child cranking an old fashioned egg beater for fun.,neutral,393523
Local market where ladies are sitting at tables with food items that are sold in jars.,some women standing in a park,contradiction,265940
A handball player prepares to throw in a sea of defenders.,A basketball player runs down the court.,contradiction,394862
A kayak on the river is passing by a wire bridge that joins both banks.,a kayak on the river in the fall,neutral,472690
Everyone seems to be in the picture taking mode as a gentlemen on a bicycle in blue paisley shorts poses.,Many people are taking pictures of a gentleman on a bicycle.,entailment,345442
Flute player performs for commuters in an underground walkway.,The flute player makes several commuters smile.,neutral,439387
"Young muscular African American man, cleaning a fish, shirtless.",A woman eats a fish.,contradiction,444662
A costume with vibrant blue and green colors.,The costume is bright.,entailment,496574
Bus worker sleeping on building ledge.,Worker sleeping about to fall off.,neutral,126125
A fish sellers stock is looked upon by two old men.,Two elderly men are looking at fish for sale.,entailment,475106
Children pass a baton during a relay run.,The children are outside.,entailment,300135
"Hanging onto a bar, the man on a yellow and whiteboard cuts through the waves with the water rooster tailing up behind him.",Water shoots up behind a man on a board as he travels through waves with a bar in his hand.,entailment,547733
Man photographing red railroad car with large camera lens.,A Man is taking photo with large camera lens.,neutral,278511
young girl in winter coat jumping off a boulder into the sand at a beach,young girl swimming in the sea.,contradiction,147893
Team tackling the opposing ball carrier.,The team tackled the opposing ball carrier.,entailment,123118
"This provides a view of several waiting rooms, including a man in a yellow t-shirt sitting in the closest room.",The man is dressed in black,contradiction,88793
Green shirted man singing at a microphone wearing a white and silver shiny hat.,The man was really good at karaoke.,neutral,79012
Skier takes a steep path down the mountain.,A snowboarder rides down the hill.,contradiction,229011
One stuntman jumps over another stuntman who is doing a back flip from a wall,A man performing a stunt for a movie.,neutral,289620
The train is coming down the track.,The train spreads its wings and flies off of the tracks.,contradiction,82080
A bunchh of people dressed up stand around talking.,Dressed up people talking.,entailment,480814
Asian police in blue uniforms are standing in front of a construction site.,There is an Asian police officer.,entailment,163854
a balck and tan dog running through the snow.,a dog runs through the snow,entailment,428669
Very brave snow skier doing a flip off a cliff.,The man is snowboarding down the mountainside.,contradiction,443103
blond child with white long-sleeve shirt with static hair,A child is light hair and shirt.,entailment,267617
The birds are in the street.,The animals are outdoors.,entailment,492547
Several small children are playing basketball.,Siblings are playing.,neutral,177831
a Kid in a spiderman outfit holds toothbrush and ball in the bathroom,A kid in a spiderman outfit holding his toothbrush close to his teeth.,neutral,305157
"Hanging onto a bar, the man on a yellow and whiteboard cuts through the waves with the water rooster tailing up behind him.",A water rooster is eating the whiteboard the man is on.,contradiction,547743
Cricket player with red cap hits the ball outdoors.,A cricket player plays for England.,neutral,308079
A bare-chested man wearing a blue cap and holding a knife is standing in front of a cinder-block wall.,a man with out a top holds a knife,entailment,486805
1 woman in a black jacket is drinking out of a bottle while others are smiling.,The others frown angrily at the woman in a black jacket.,contradiction,19381
Four Indian people in a classroom.,There are four people in a classroom.,entailment,434058
A receptionist laughs while conversing on the telephone.,the lady was filling out an application for employment,contradiction,395958
Pink and purple balloons outside of a building.,There are two different color balloons: pink and purple.,neutral,302317
This tattooed woman stares off into the distance as she sips her drink.,A woman eats chips as she stares intently at her plate.,contradiction,181112
"Six Hispanic males are moving a giant fishing net with fish inside the net, with a jetty of rocks and a beach with the waves washing in the background.",Six males are riding in a truck.,contradiction,385924
bare chested man with ball cap sits in an outdoor work shop,The man is taking a break from work,neutral,433913
A crippled male throwing a frisbee.,A guy is juggling elephants.,contradiction,64541
Female performer wearing a striped shirt and black leather jacket singing on stage.,A female clown juggles for a group of children.,contradiction,546019
a produce market held inside a large white walled building.,The produce at the market is fresh.,neutral,41924
He prepares to give meals to the less fortunate.,A guy gives meals to the homeless for community service.,neutral,414753
Clown in red and black checkered pants on stilts acts as a puppet master as a female in blue hair acts as a marionette.,A tall human standing,neutral,221447
Artist putting a tattoo on the stomach of a young woman.,Artist putting a tattoo on the stomach of a young woman who is getting her first tattoo.,neutral,345871
"Three fire-fightes use a hose to put out a car that is on fire and smoking a lot, parked next to a street sign.",Three firefighters put out a burning car that was set on fire by accident.,neutral,476484
Child standing on yellow sprinkler mat with water spraying.,A kid are playing outside.,entailment,408899
If this equipment works properly I should be able to pick up every single speck.,"If this works, I hope to pick up every speck.",entailment,157270
A walk on the beach after a storm.,Someone is walking outside.,entailment,224087
"Hikers treks upward through the creek bed, stopping to catch their breath and enjoy the cool, green scenery.",Tourists walk up from the river to look at the incredible sights.,neutral,458872
A singing group performing outdoors.,The group is singing beatles covers.,neutral,338261
Boy crawling through a cement tunnel.,there is a big cement tunnel where kids play by crawling,neutral,383561
Business people talk after making a presentation.,Business people are silently glaring at each other.,contradiction,85116
Slightly inebriated woman in a maroon apron excitedly stirs a large pot.,A woman is cooking.,entailment,132338
A graffiti artist is spray painting bricks.,Someone is fixing a car.,contradiction,209090
Two Santa dancing on concrete.,Nobody is dancing.,contradiction,344936
A Police Officer is looking at the crack in the ground on a city corner.,The man is inside a hole.,contradiction,97264
Flight attendant in red pushes drink cart through aisle of airplane.,There is a bottle of water on the drink cart.,neutral,315361
A caricature artist at a street art fair with customers viewing his work.,There is a chalk artist drawing on the ground.,contradiction,459789
Photographer captures his shadow as he photographs young boys mingling on the lawn.,A photographer is taking photos.,neutral,487052
women posing in a goofy candid photo in a studio,Women sticking out their tongues in a goofy candid photo.,neutral,353912
"four men two with their feet up, on laptops sitting around a table in a living room",men closing business deal,neutral,60197
"Three swim competitors with blue, green, and yellow head caps are getting ready to race.",There is a swim race about to happen.,entailment,308546
"An SUV is parked in a grassy field with mountains in the background, and a woman is looking through a telescope off into the distance.",The woman is using a telescope.,entailment,492999
Pitcher about to pitch the ball.,The pitcher is holding the ball.,entailment,300770
Three Middle Eastern people going through a bunch of glass bottles.,Three people are drinking beer from glass bottles.,contradiction,190545
A costumed figure leans into the dinner table.,The man is wearing a spider-man costume,neutral,400388
busy market at nighttime,The market is closed at night.,contradiction,527470
Many girls are competing in their track tournament.,The girls are competing.,entailment,106766
man standing at a counter in a convenience store with a woman on the other side of the counter wearing a white shirt looking at him very expectantly.,A man and woman stand for a wedding photo.,contradiction,204129
Native american women wearing brightly colored traditional clothing weaving.,Some women are wearing bright clothes.,entailment,152229
Children viewing a small container.,The children look at the container.,entailment,209461
Hands with painted fingernails unscrewing nail polish.,They are drinking a bottle of Windex cleaner.,contradiction,102059
Guitar player practices surrounded by instruments.,The guitar player is practicing.,entailment,518701
Five males playing field hockey with man in white shirt on blue shorts on the ground.,Two females playing field hockey with a man in white shirt on blue shorts on the ground.,contradiction,51498
Ensuring that an accurate account of all I see here is appropriately recorded.,Establishing that everything is accurately recorded.,entailment,2650
Trees are reflected by a thin layer of water on the cement.,The water on the ground refects the tree branches.,entailment,305141
A casual guy having a drink in a asian bar.,There is an umbrella in his drink,neutral,104307
"Baseball is being played by two men in red jerseys by a ""pepco"" sign.",A couple of kids chase each other in a backyard.,contradiction,474569
Back side of a woman in a black dress walking down a boardwalk.,A woman on her way to a party,neutral,104071
Two pretty ladies show off the low cut backs of their dresses,Two ladies are in a fashion show in dresses.,neutral,197741
Large gray dog being handed a white soccer ball.,The dog is gray.,entailment,497189
Tourists entering a building in a foreign country.,Some people going into a building.,entailment,177529
Workers at meat market share a meal.,A cat and a dog are fighting.,contradiction,528050
A plain woman in a dress standing in the street facing the sun.,A woman standing outside.,entailment,322404
"Now this is what you have to do to be a good dj, laugh and keep the record moving.",A disk jockey is playing music.,entailment,261534
Dad holding little girls hand while walking.,Dad is holding his daughter's hand as he walks her into the surgery room.,neutral,336423
Security lining a street.,Security is getting cotton candy at the carnival.,contradiction,412371
Blond-haired women in yellow shirt and green shorts dozing on a couch.,A woman is sleeping on a couch,entailment,543563
Brunette guy completing a jump on the pole vault.,Guy is completing a jump on the pole vault.,entailment,95421
"Middle-aged man, with a leather jacket, standing in a misty parking lot.",the man is outdoors,entailment,385958
two crew people talk about an race car engine during a race car show.,Two people are having a discussion.,entailment,126980
Ship crew and residents overlook a bridge on an Autumn day.,The ship is near a city.,entailment,82456
Several fans walking around outside a baseball stadium.,parents took their kids to the game,neutral,309480
The game booths at a carnival are shown with a doughnut shop in the background.,there are kids at the carnival,neutral,137877
"Children, one with a stick, and six petting a dog with a blue leash.",Children pet a dog.,entailment,469565
Man flying through the air on skis over a mountain.,The man is riding a horse.,contradiction,318808
Hospital staff checking on a patient.,Medical workers access a patient.,entailment,284454
Male surfer in the process of riding a wave.,The surfer is surrounded by water.,entailment,249320
Three pedestrians walk along a street at sunset past a storefront that has asian lettering.,rabbit runs in the grass,contradiction,283606
Man lighting a cigarette on the right and man looking at the phone on the left.,Two man are employed in different activities.,entailment,246973
Man rock climbing looking up the rock,The man looks down from a cliff.,contradiction,133557
Young laughing boys on a wet vinyl mat.,Two boys are on a swing set.,contradiction,182401
A backpacker walks down a rocky mountain.,A backpacker takes pictures as they walk down a rocky mountain.,neutral,359633
Rock climbing in the mountains.,There are several people climbing a steep cliff in the mountains.,neutral,511611
american business club meeting.,Everyone at the meeting are children.,contradiction,232250
cars are parked by a little store in quaint European street.,There are cars parked at the store on European street.,entailment,520805
A multicolor dog in a red collar crouching on the grass.,A dog is staring at the grass.,neutral,85075
A trombonist is at the front of the stage during a concert.,A trombonist is performing at a concert.,entailment,276032
a brightly decorated bicycle with cart with people walking around in the background,a bike is attached to a cart.,entailment,539803
A handicapped man plays a game while an elderly woman watches.,A man is playing chess.,neutral,169856
"Three horse riders, one on a pony, are traveling in a straight line behind the first horse rider.",The people are tourists.,neutral,297342
"Two couches that face each other are separated by a small table covered with newspapers, booklets, and magazines.",The room is bare except for a naked homeless man in the corner.,contradiction,524928
Biker loses control of bike in midair.,The biker popped a wheelie on the bike.,contradiction,424008
Man scaling an ice formation on a sunny day.,Morticia sunbathes.,contradiction,105919
"Three human carriages that are not in service, two of them being used by barefoot men for shade on a hot day.",They are white.,neutral,35401
Young entrepreneur giving a presentation using two mac book laptops.,The entreprenuer was old.,contradiction,521863
A blue-shirted skateboarder grinds on a rail and another flips his board in the air while other people roll in the background of the park.,A cyclist is doing tricks on his BMX bike.,contradiction,98585
Stairs crowded with several people,The people are inside the building,neutral,317452
"two females, one wearing blue the other black, smiling and laughing",two females are dressed in halloween costumes smiling and laughing,neutral,233175
A far off view of a surfer and a person on a seedoo.,A person stands on the beach watching people play in the distance.,neutral,491051
A mustache man wears an earphone.,The man with the beard has headphones.,contradiction,266875
colorful people and a dog,A dog is with some interesting people.,neutral,176066
"One nun being patted down by a TSA agent in front of an American flag, while a civilian looks on.",a nun has hid a gun in her habit.,neutral,378338
Fellows writing on the back of a friend with black markers.,People are bullying a kid by writing cruel things on his back with permanant marker.,contradiction,3603
Woman leaves Peet's coffee with a coffee and travel cup.,The woman is licking an ice cream cone.,contradiction,545759
The horses are in a straight line.,There are three horses in a line.,neutral,479842
The quad at the student services fair.,The grass outside of a community college.,neutral,285913
deleon speaking into a mic.,Deleon is speaking into a mic.,entailment,358224
"Tall black man standing with a dog in the foreground, another black man in the background looking over the scene.",There is a dog with the tall black man.,entailment,284758
child sitting on a ladies shoulders and clapping her hands.,A girl wearing white sitting on a lady's shoulders and clapping her hands.,neutral,235536
a tractor digging in dirt.,A person is in a tractor.,neutral,509347
A crosscountry skier skies up hill in a wintery landscape with frozen trees.,A crosscountry skier is outside in the cold,entailment,162617
Hockey player jumps with joy after his hockey team scores a goal.,The goal the play is celebrating tied the game.,neutral,226790
two smiling kids walking on sand,Two kids with water bottles are walking in the sand.,neutral,362568
a mountain biker riding on a hillside wearing a helmet.,A mountain biker is sitting on swing.,contradiction,457956
Fiver runner crouched down on a track in a large stadium full of people.,A group of five runners crouched down in front of a large crowd.,entailment,265269
twin action we are gonna hit that platform.,we're standing on the platform,neutral,37863
a bicyclist wearing a helment riding down a steep ramp,A bicyclist is going very fast.,neutral,248034
People engaged trying out new technology.,An engaged couple trying out new technology.,neutral,392624
"Seven people, mostly in white shirts, dance in a room with one red wall.",There are seven people in a room.,entailment,32723
"While floating down the river in an old fashioned looking boat, a group of people pass by a house build into a tree.",the people are on a river.,entailment,87076
Glass windows showcase a model of a man sitting and wearing black.,A man is seen through a window,entailment,468411
Its a beautiful day for an outdoor wedding.,It is raining.,contradiction,300451
Willie Nelson looking stage right while at the microphone.,famous man in this picture,entailment,416383
It's football practice as a small group of players take a stance on the field watched by four onlookers on the sidelines.,Football players are getting ready for the championship game,neutral,414310
children smiling with facepaintings,Some kids are sleeping.,contradiction,271842
One toddler takes away the mouth piece of the other which makes him cry.,A baby steals another baby's pacifier.,entailment,311904
Asian teens performing on stage.,Asian men performing on stage.,neutral,24096
