premise,hypothesis,label,o_index
a kid is running in and out of the waves of the ocean,a kid is running in and out of the ocean waves,entailment,1958
the true cat is playing passionately with a watermelon vine,a true cat is playing with a watermelon vine,entailment,1959
two people in a race are flipping the tires of a tractor,two women are competing in a tire rolling race,neutral,1960
a mortal is wearing a red jacket and holding a beer,the adult female is wearing a red jacket and holding a glass in front of the adult male in a white tshirt,neutral,1961
five adults are sitting on a chair,people are sitting against a wall,neutral,1962
a young boy is wearing a blue patterned swim suit a black and yellow swim cap and has blue swim goggles on her head,a young girl is sitting in swimming gear,neutral,1963
a adult female is singing into a mike,a adult male is singing into a mike,neutral,1964
the girl in blue is chasing the base of operations smuggler with a number on the jersey,a adult male in blue has a yellow ball in the hand,neutral,1965
two infant pandas are playing,two cubs are playing,entailment,1966
the adult female is wearing a red jacket and holding a glass in front of the adult male in a white tshirt,a mortal is shirtless and is putting down the beer,neutral,1967
the man is eating potato slices,the man is slicing potatoes,neutral,1968
a brown domestic dog is running through a snowy trail,a white domestic dog is running through a snowy trail,neutral,1969
someone is taking the okra out of a pot,someone is cooking okra in a cooking pan,neutral,1970
a brown domestic dog and a grey domestic dog are fighting in the snowfall,a brown domestic dog and a gray domestic dog are playing in the snowfall,neutral,1971
there is no adult male eating a pizza pie,a adult male is eating some nutrient,neutral,1972
a adult female is sewing with a machine,a adult female is using a machine made for sewing,entailment,1973
a domestic dog is chasing a ball in the grass,a domestic dog is losing a ball on the grass,neutral,1974
the adult female is picking up the kangaroo,the kangaroo is picking up the adult female,contradiction,1975
there is no buffoon singing,a buffoon is singing,contradiction,1976
somebody is playing the pianoforte,the pianoforte is being played by someone,entailment,1977
a adult female is cutting a lemon,a adult female is firing a arm,neutral,1978
a big true cat is opening a plastic drawer with its paws and is jumping inside,a small true cat is opening a plastic drawer with its paws and jumping inside,neutral,1979
a surfboarder is riding a big moving ridge across dark green water,the surfboarder is riding a small moving ridge,contradiction,1980
a falls is flowing into a shallow pool,the people are walking on the route beside a beautiful falls,neutral,1981
a adult male is opening a small packet that contains phone,a adult male is opening a packet that contains phone,entailment,1982
three young men are running jumping and kicking near a vending machine,there is no adult male running jumping and kicking near a vending machine,contradiction,1983
a girl is applying make-up to her human face,there is no girl applying make-up to her human face,contradiction,1984
rollerbladers are not rolling in formation down a hill,a group of rollerbladers is lining up on the street,neutral,1985
a biker is wearing cogwheel which is black,a biker wearing black is breaking the gears,neutral,1986
a boy in blue shirt is looking at his hand near a stack of blocks on table,the boy in blue shirt is looking at his hand near the stack of blocks on table,entailment,1987
a adult male is chopping down a tree with an ax,a mortal is planting a tree,neutral,1988
a costumed performing artist is singing and people are dancing,a buffoon is singing,neutral,1989
there is no adult male cutting a tater,a adult male is cutting a tater,contradiction,1990
a adult male is snowboarding down a railing in the snowfall,a adult female is snowboarding down a railing in the snowfall,neutral,1991
the adult female is dicing onions,a adult female is swiftly cutting an onion,neutral,1992
two blokes are sitting around a table and holding beers in their hands,a adult male in a white shirt and shades and a adult male in a black shirt and shades are sitting at a table with four beer bottles,neutral,1993
a woman is frying fish,two women are wearing bikinis and are walking on the sand,neutral,1994
an old adult female is shaking hands with a adult male,a adult male and a adult female are shaking hands,entailment,1995
a blond adult female is sitting on the roof of a yellow vehicle and two people are inside,a adult female with blond hair is sitting on the roof of a yellow vehicle and two people are inside,entailment,1996
a big domestic dog and a small white domestic dog are playing together,a big domestic dog and a small domestic dog with a white coat are playing together,entailment,1997
the doctors are reviving a man,the doctor is helping the patient,entailment,1998
an old woman is shaking hands with a man,an woman that is old is shaking hands with a man,entailment,1999
a little boy is playing a guitar,there is no boy playing guitar,contradiction,2000
a sheep dog is grouping a herd of sheep,the sheep dog is grouping a herd of sheep,entailment,2001
a kid swimming in the ocean is tossing a coin into the pool near the man,a father is launching the daughter in a swimming pool,neutral,2002
a rider is surfing the moving ridge,a adult male is performing a fast one on a surfboard in the water,neutral,2003
the man is putting away the camera and walks away from the beach,a man with a white moustache is standing on a balcony and is looking at the road below,neutral,2004
a adult male is making a address on a stump,a adult male is speaking on a phase,neutral,2005
a yellow domestic dog is running down a way covered by sand,a golden retriever is running,neutral,2006
the black bird is not sitting in a leafless tree,the black bird is sitting in a leafless tree,contradiction,2007
the woman is chopping some bread and fried pork,the woman is frying a breaded pork chop,neutral,2008
some people are in the snowfall wearing dress that provide disguise,two people are walking two dogs with golden coats in the snowfall,neutral,2009
a woman in a bikini is pulling a dog on a leash at the seashore,a woman in a bikini is pulling a dog on a leash at the beach,entailment,2010
a adult male is watering the grass and excitedly playing with a domestic dog,a domestic dog is excitedly playing with water in the grass,neutral,2011
a few men in a competition are running outside,one adult male is leading the race,neutral,2012
a adult female is cracking an egg into a bowl,there is no adult female cracking an egg into a bowl,contradiction,2013
a adult male is playing the guitar,a adult male is playing a guitar,entailment,2014
two boys on a sofa are reading a book,two boys on a sofa are playing picture games,neutral,2015
a group of five young adults are lounging in the room,a group of five young adults are lounging inside,entailment,2016
a man is dangerously throwing knives at a tree,some dangerous men with knives are throwing a bike against a tree,neutral,2017
a adult male is squatting in brushwood and taking a picture,a mortal is crouching and holding a photographic camera,entailment,2018
nobody is folding a piece of paper,a person is folding a piece of paper,contradiction,2019
a black animal is approaching a golden dog on pebbly beach,two dogs are playing on a rocky beach,neutral,2020
a group of children is playing tambourines,a group of children is not playing tambourines,contradiction,2021
a adult male is playing a wooden transverse flute,there is no adult male playing a wooden transverse flute,contradiction,2022
someone is playing the guitar,someone is dismantling a piano,neutral,2023
a young adult female is getting a tattoo on her hand,the adult female in the white jumper is drawing a tattoo on the hand of a teen,neutral,2024
a group of people is on a beach,a group of people is on a mount,neutral,2025
a duet is not looking at a map,a duet is looking at a map,neutral,2026
a tomato is being sliced by a adult female,a adult female is peeling a tater,neutral,2027
a few men in a competition are running outside,a few men in a competition are running inside,contradiction,2028
a cervid is jumping over a cyclone fence,the cervid is jumping over the fence,entailment,2029
a adult male with no shirt is jumping over a log,a shirtless adult male is jumping over a log,entailment,2030
a white puppy is biting a pole,a brown puppy is biting a pole,neutral,2031
there are no dogs playing in the snowfall,a brown domestic dog and a gray domestic dog are playing in the snowfall,contradiction,2032
there is no mortal cutting some ginger,a mortal is cutting some ginger,contradiction,2033
a woman is sewing with a machine,there is no woman using a sewing machine,contradiction,2034
paper is being cut with pair of scissors,the piece of paper is being cut,entailment,2035
the man is intensely playing the guitar,the guitar player is loving one girl,neutral,2036
one adult male is tossing a child into the swimming pool that is near the ocean,a father is launching the girl in a swimming pool,neutral,2037
a domestic dog is near the red ball in the air,a domestic dog is far from the red ball in the air,contradiction,2038
a adult male is cutting himself with a piece of paper,a mortal is tearing paper,neutral,2039
there is no woman slicing a potato,a woman is slicing a potato,contradiction,2040
a girl in blue is sliding down a green slide,the young girl in blue is having fun on a swing,neutral,2041
the bike is being ridden by a adult male wearing a beret on a diversion trail,a adult male is wearing a beret and is riding the bike on a diversion trail,entailment,2042
a young male child isnt climbing a wall made of stone,the young male child is climbing the wall made of stone,contradiction,2043
a male child is jumping off a platform and two other boys are standing and watching,a male child is jumping off a platform and two other boys are standing and staring at him,entailment,2044
a little girl is hitting a ball off a teeing ground,a little girl in a pink shirt is playing tball and taking a swing,neutral,2045
two men are doing a skit which is very funny with a pugilist in front of a crowd of people,a coney is playing with a plaything coney,neutral,2046
a lemur is hanging on a cord,a lemur is hanging on a rope,entailment,2047
the young male child is running through the ocean waves,a kid is running in and out of the ocean waves,entailment,2048
a yellow kayak is being ridden by a adult male and a young male child,a adult male and a young male child are riding in a yellow kayak,entailment,2049
a woman is dancing and a man is playing the keyboard,a woman is walking off a stage,neutral,2050
a adult female wearing a blue shirt and high heels is standing on the pavement next to a adult male,a adult male and a adult female are jumping on the kerb,neutral,2051
a male child in his teens is talking to a girl with a webcam,the teens are talking to a male child and a girl with a webcam,neutral,2052
two child are playing in a swimming pool with a green colored crocodile float,two child are pushing past a crocodile in an inflatable pool,neutral,2053
a girl is communicating with mark linguistic communication,a young male child is using mark linguistic communication,neutral,2054
a domestic dog is pushing a tot into a rainfall puddle,a male child is being knocked into the water by the domestic dog,neutral,2055
there is no man on a bicycle riding on the beach,a man on a bicycle is riding on the beach,contradiction,2056
a adult female is putting away a carrot,a adult female is slicing a carrot,neutral,2057
nobody is playing the guitar and singing,the adult female is playing a guitar which is acoustic and singing,contradiction,2058
the girl in the blue and white uniform isnt cheering,the girl in the blue and white uniform is cheering,contradiction,2059
a adult male is speaking on a phase,a adult male is speaking on a stump,neutral,2060
a sea bird is slowly flying over some rocks,a sea bird is flying over some rocks,entailment,2061
there is no person pouring olive oil into a pot on the stove,a person is pouring olive oil into a pot on the stove,contradiction,2062
a adult male is shooting with a bowknot,a adult male is rowing a boat,neutral,2063
a male child is playing a game with blocks made of wood,a male child in blue shirt is looking at his hand near a stack of blocks on table,neutral,2064
a true cat is jumping into a container,a true cat is jumping into a box,entailment,2065
a lady is mixing a meat mixture in a bowl,the woman is stirring meat in a bowl,entailment,2066
two young boys are looking up at the photographic camera and one is sticking out his lingua,a little male child is sticking his lingua out for the photographic camera and another male child is not looking,neutral,2067
the puppy is playing with a plastic container,the domestic dog is playing with a plastic container,entailment,2068
a kid is making a snowfall ball,a child in orange is playing outside with a abronia elliptica,neutral,2069
a teenage girl is storing away beads that are red,a teenage girl is wearing beads that are red,neutral,2070
a infant rhinoceros is walking around a pen with its female parent,a rhinoceros which is little is following an grownup rhinoceros,entailment,2071
a surfboarder is riding a big moving ridge across dark green water,a surfboarder is riding a big moving ridge,entailment,2072
a adult female is not frying meat,a adult female is placing nutrient in a pot of hot water,neutral,2073
a male child is wearing a hat and is walking in the wet sand,a male child is wearing a white hat and is running on the beach,neutral,2074
a mortal by some cameras is blowing on a burning torch,a mortal is burning some cameras with a blow torch,neutral,2075
there is no woman cutting an onion,a horse is standing,neutral,2076
a badger is shrewdly digging the world,the badger is burrowing a hole,entailment,2077
two brown and white dogs are fighting on a grassy area in front of a tree,two brown and white dogs are fighting on a grassy area behind a tree,neutral,2078
two angels are making snowfall on the lying child,two child are lying in the snowfall and are making snowfall angels,neutral,2079
two men in a race are flipping the tires of a tractor,two men are competing in a tyre rolling race,neutral,2080
a adult female is cracking an egg into a bowl,a brown and white domestic dog with a brown and black bandana is quickly running,neutral,2081
a dogs tail is being pulled by a monkey,a monkey is pulling a dogs tail,entailment,2082
a adult male is riding a horse on the beach,a adult male is riding a horse in the desert,neutral,2083
a guitar is being played by a child,a child is playing guitar,entailment,2084
there is no adult male playing a keyboard,a adult male is playing a guitar,neutral,2085
the adult male is clumsily kick boxing with a trainer,the adult male is kick boxing with a trainer,entailment,2086
a shoeless adult male in pajamas is looking toward the stars and is walking on the lawn tennis judicature,a shoeless adult male in pajamas is looking toward the sky and is walking on the lawn tennis judicature,entailment,2087
a adult male is driving a car,a adult male is driving a vehicle,entailment,2088
two cats are playing with a red ball,two daschunds are playing with a red ball,neutral,2089
a adult male is playing a small transverse flute,a adult male is playing a transverse flute,entailment,2090
a shoe is being tied by a adult male,a adult male is tying a shoe,entailment,2091
a great vocaliser is dancing on the ceiling,a kid is making a snowfall ball,neutral,2092
a kitten is drinking fresh milk,the milk is being drunk by a cat,entailment,2093
the writing is about a mortal penciling,a mortal is writing,neutral,2094
a little boy with brown hair is jumping off of a brown chair onto the floor,there is no little boy with brown hair jumping off of a brown chair onto the floor,contradiction,2095
a adult female is boiling noodles in water,someone is stirring nutrient in the water,entailment,2096
a adult male is showing off a small monkey,a adult male is holding an fauna which is small in one hand,entailment,2097
a adult male and a adult female are in a room painted beige wearing dark colored shirts and a proctor is in the background,a adult male and a adult female are in a beige room wearing dark colored shirts and a proctor is in the background,entailment,2098
two dogs are playing together on the grass,a big domestic dog and a small domestic dog with a white coat are playing together,neutral,2099
someone is playing the guitar,somebody is playing the guitar,entailment,2100
the infant is being put into a scrap can by a adult female,a mortal is putting meat into a frypan carelessly,neutral,2101
a sketch plane is landing,an animated plane is landing,entailment,2102
a kid who is small is outdoors climbing stairs outdoors in an country full of grass,a small kid in a pink jumper is climbing a concrete stairway,neutral,2103
a adult male is taking a icon of a drawing,a adult male is drawing a icon,neutral,2104
two dogs are playing on the beach,a brown domestic dog is running after a black domestic dog on a rocky shore,neutral,2105
a adult male with a photographic camera is studying the theme,the adult male in the purple hat isnt operating a photographic camera that makes picture,neutral,2106
a cheetah is quickly running behind its prey,there is no cheetah quickly running behind its prey,contradiction,2107
the lady is peeling the tater,a adult female is peeling a tater,entailment,2108
the man is slicing potatoes,a woman is peeling a potato,neutral,2109
a adult female is pouring ingredients into a bowl,the chef is seasoning the oil,neutral,2110
a adult male in a shirt dyed purple is looking at a adult male in a black shirt who is doing a funny human face,a adult male in a purple shirt is dying another shirt black which has a adult male looking at a domestic dog doing a funny human face painted on it,neutral,2111
two child are playing in the breaker,a child is splashing in the pool,neutral,2112
the girl who is little is carefully combing her hair into a pony tail,the girl who is little is combing her hair into a pony tail,entailment,2113
the military military officer is shouting at the recruits,an military officer is talking to the recruits,neutral,2114
a man is phoning,a man is talking on the phone,entailment,2115
a motorbike rider is running over a man,the horse is being ridden by a man,neutral,2116
a adult male in a red uniform is racing and making a leap over a motorcycle in the soil,a adult male is participating in a bmx race,neutral,2117
a adult female is boiling noodles in water,noodles are being boiled in water by a adult female,entailment,2118
the nutrient on the trays is being eaten by the kittens,a few kittens are eating,entailment,2119
a dog with a blue collar is not playing with the ball outside,a grey dog is bouncing a soccer ball on its head in a grass field,neutral,2120
a young kid is shoeless and is walking past a puddle full of clay,a young kid is wearing green boots and playing in a puddle full of clay,neutral,2121
a woman is drying noodles,a woman is boiling noodles in water,neutral,2122
four people are difficultly walking with trouble across thick snowfall and the sun is setting,some people are treading through the snowfall of the beautiful snowy landscape,neutral,2123
two dogs and two people are walking in the woods,two dogs and two people are walking in a wood,entailment,2124
a white car and a yellow car are racing down the path,no race car is on a route in front of a grassy parking country,neutral,2125
the person is riding a motorbike on a sandy track,a man is lifting barbells,neutral,2126
a adult female is peeling a tater,there is no lady peeling the tater,contradiction,2127
a small black and white domestic dog is carrying a stick and is swimming,a small black and white domestic dog is biting a stick and is swimming,entailment,2128
the man is tossing a kid into the swimming pool that is near the ocean,a kid swimming in the ocean is tossing a coin into the pool near the man,neutral,2129
two men are walking through the water,two men are standing in the ocean,neutral,2130
the adult male is removing knife from a tree,the adult male is throwing knife at a tree,neutral,2131
a kid who is small is outdoors climbing stairs outdoors in an country full of grass,a small kid is outdoors climbing stairs in a grassy country,entailment,2132
a adult female is leaning on the shelf of a balcony,a adult male with a white mustache is standing on a balcony and is looking at the route below,neutral,2133
three asian child are dancing and a adult male is looking,an asian adult male is dancing and three child are looking,neutral,2134
a kitty is getting bored,a kitty is playing with a blue rope plaything,neutral,2135
a player of soccer is scoring a goal,soccer players are kicking a soccer ball into the goal,entailment,2136
two white puppies are playing near a pool,two white puppies are playing near water,entailment,2137
a boy is speeding down a steep slide,a kid is speeding down a steep slide,entailment,2138
a white domestic dog is wearing a christmas caribou headband and is playing with a brown domestic dog in the grass,a white domestic dog is wearing a christmas caribou headband and is playing with a domestic dog with a brown coat in the grass,entailment,2139
a adult male is slicing a carrot with a knife,the adult female is not slicing an onion,neutral,2140
paper is being cut with pair of scissors,there is no paper being cut with pair of scissors,contradiction,2141
a male child in a band is playing the transverse flute,a girl in a uniform is playing the transverse flute with a marching band,neutral,2142
people are looking at some costumes gathered in the locality of the wood,people wearing costumes are gathering in a wood and are looking in the same way,neutral,2143
a association football participant is scoring a end,there are no association football players kicking a association football ball into the end,contradiction,2144
the girl is trotting on the horse,a girl is riding a horse,entailment,2145
the adult male with the dyed purple hat is operating a photographic camera that makes picture,the adult male in the purple hat is operating a photographic camera that makes picture,entailment,2146
a dog with long hair and a red vest is sitting in the grass,a dog with long hair and a red vest is running in the grass,neutral,2147
a mortal is cutting an onion,a mortal is eating a cut onion,neutral,2148
a football player in a purple jersey is running with the ball for a touchdown,a person playing football is running past an official carrying a football,neutral,2149
a cervid is jumping over a cyclone fence,the cervid is not jumping over the fence,contradiction,2150
a mortal on a yellow motorcycle is airborne,a mortal on a yellow soil motorcycle is taking a leap,entailment,2151
a mortal is wiping butter on a tray,a mortal is spreading butter on a tray,entailment,2152
a adult male is wearing a blue checkered shirt and riding a monocycle in the street,there is no adult male wearing a long sleeved blue shirt and jeans and riding a monocycle down a street,contradiction,2153
the adult male is playing the guitar,there is no adult male playing the guitar,contradiction,2154
a person is taking away the meat in the skillet,the baby is being put into a trash can by a woman,neutral,2155
a adult female is cutting a fish,a adult female is slicing a fish,entailment,2156
a small boy in a striped shirt is sliding out of a green tube,a little boy in a striped shirt is sliding out of a green tube,entailment,2157
a young male child is diving into a still lake,a young male child is jumping into a still lake,entailment,2158
the icon of a photographic camera set up is being taken by a adult male on the beach at the sundown,a adult male is taking pictures of a lake,neutral,2159
a adult male is playing a fiddle,the infant is laughing and crawling,neutral,2160
one adult male is turning on the microwave,one adult male is turning off the microwave,contradiction,2161
four people are walking along a metropolis pavement and the one in the green hat is talking on a cell telephone,a group of people is walking down the street and a mortal in a green hat is on the telephone,entailment,2162
some animals are playing wildly in the water,a few animals are playing in the water,entailment,2163
an old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,there is no woman wearing sunglasses of large size and holding newspapers in both hands,neutral,2164
the adult male is dipping into a swampland,a adult male is rising from a swampland,neutral,2165
two people are sitting in lawn chairs and are reading books,two people in two chairs are talking,neutral,2166
a adult female is slicing an onion,a adult female is cutting an onion,entailment,2167
a kid is smiling at the photographic camera and swimming submerged,a kid is swimming on the waters surface in a pool,neutral,2168
there is no adult female using an optic pencil and applying optic line drive to her lid,a adult female is applying cosmetics to her lid,contradiction,2169
a distant mortal with a blue back pack is hiking in rocky country,the mortal is walking,entailment,2170
three boys in karate costumes arent fighting,three men are practicing karate in a field,neutral,2171
a adult female is chopping an onion,a adult female is washing her feet,neutral,2172
a adult male is playing with water,a adult male is not playing with water,contradiction,2173
a woman wearing casual clothing is keeping her mouth closed and is near other people dressed differently,a woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,neutral,2174
a brown and white domestic dog is running through the tall grass,a brown and white domestic dog is moving through the natural state grass,neutral,2175
there is no adult male playing the pianoforte,a adult male is playing the pianoforte,contradiction,2176
a young adult male and a adult female are riding bikes on the boardwalk near the ocean,a eye aged adult male and adult female are riding bikes down a route beside the water,neutral,2177
the adult male is hammering a nail with a photographic camera,the photographic camera adult male is nailing a cock to the wall,neutral,2178
two bmx rockers are jumping soil ramps in front of a organic structure of water,some rockers are getting airborne on a path near water and a skyline,neutral,2179
one adult male is sitting on the chair,the girl who is little is ruffling her hair,neutral,2180
the elderly lady is waiting on the pavement,a lady in a pelt hat and pelt coat is standing outside a building,neutral,2181
four young men are standing still and a car is exploding behind them,four young men are exploding and a car is standing still behind them,neutral,2182
three small dogs are sniffing at something,butter is being chopped into a container by a adult male,neutral,2183
the water ice field hockey goaltender is wearing a yellow jersey and is defending the end,a field hockey participant in a yellow jersey is guarding the end,entailment,2184
the adult female is cracking two eggs into a glass bowl,a adult female is cracking an egg into a bowl,entailment,2185
a adult male is performing stunts on a green bike,a adult male is performing a fast one on a green bike,entailment,2186
a skier dressed in black is catching a tiny bit of air,a man is skiing down a snowy hill,neutral,2187
football players in red and white are jumping and hugging each other,a football player in a red and white uniform is being lifted by two teammates,neutral,2188
a adult male is playing an electronic keyboard,an electronic keyboard is being played by a adult male,entailment,2189
recruits are talking to an officer,an officer is talking to the recruits,neutral,2190
a infant is sitting,a infant is sneezing and scaring another infant,neutral,2191
a adult male is playing the drums,the drums are being played by a adult male,entailment,2192
someone is boiling okra in a pot,someone is cooking okra in a cooking pan,neutral,2193
a jet plane is not flying,a jet plane is flying,contradiction,2194
a adult male in a blue jump suit is courageously performing a wheelie on a bike,the adult male is getting off a bike onto earth which is mostly barren,neutral,2195
a adult male is singing and playing the guitar,a adult male is singing a vocal and playing the guitar,entailment,2196
a keyboard is being played by a adult male,a adult male is playing a harp,neutral,2197
a shirtless man is escorting a horse that is pulling a carriage along a paved road,a shirtless man is leading a carriage that is being pulled by a horse,entailment,2198
a brown domestic dog is staring attentively at a brown and white domestic dog,the little domestic dog is dropping the bedchamber carpet slipper from its mouth,neutral,2199
a person is absently cutting mushrooms with a knife,a person is cutting some mushrooms,entailment,2200
a golden domestic dog is running through a field of tall grass,there is no brown domestic dog running through tall green grass,neutral,2201
the male child is cutting the grass by the kerb with pair of scissors,the male child is not cutting the grass by the kerb with pair of scissors,contradiction,2202
people are dangling from straps and kicking at each other,nobody is dangling from straps and kicking at each other,contradiction,2203
a man is emptying a container made of plastic completely,a man is emptying a container made of plastic,entailment,2204
a small boy in a green shirt is striping a sliding tube,a small boy in a striped shirt is sliding out of a green tube,neutral,2205
there is no football game participant in a purple jersey running with the ball for a touchdown,a football game participant is running past an functionary carrying a football game,neutral,2206
a man dressed in black is wearing inline skates and performing acrobatics on a rail,a man dressed in black is wearing inline skates and performing a trick on a rail,entailment,2207
a person is playing a trumpet,a man is passionately playing the guitar,neutral,2208
a adult male is speaking,there is no adult male speaking,contradiction,2209
the white dogs are looking curiously at the black llama,a black sheep is standing near three white dogs,neutral,2210
a adult male is standing on a boat in front of the sundown near a flag,a adult male is on a boat in front of the sundown,entailment,2211
the kitty is eagerly drinking some milk from the bowl,one small kid is filling the cup with water,neutral,2212
the male who is dark skinned is standing on one hand in front of a yellow building,the dark skinned male is standing on one hand in front of a yellow building,entailment,2213
allium sativum is being chopped by a adult female,a adult female is chopping allium sativum,entailment,2214
some cheerleaders are taking a interruption,some cheerleaders are dancing,neutral,2215
a yellow true cat is chasing a ball,a yellow domestic dog is chasing a ball,neutral,2216
two men are not fighting,some men are fighting,neutral,2217
the adult male is pacing around a room,a adult male is sitting on the floor in a room and strumming a guitar,neutral,2218
a woman is painting a mans face,a woman is cleaning a mans face,neutral,2219
a snowboarder is doing a somerset over a hill of snowfall,somebody is jumping in the air on a board,neutral,2220
the adult female is not slicing an onion with a knife,the adult female is slicing an onion with a knife,contradiction,2221
a man is walking in a city street,a woman is walking in a city street,neutral,2222
a potato is being peeled by a person,a person is frying some food,neutral,2223
a brown and white domestic dog is jumping over a red yellow and white hurdle,a brown and white domestic dog is passing under a red yellow and white hurdle,neutral,2224
a adult male is cutting a tomato,a adult female is dancing near a fire,neutral,2225
an elephant is being ridden by a woman,a woman is opening a soda and drinking it,neutral,2226
three men are not staring at the big green hills in the distance,three men are looking into the distance,neutral,2227
a domestic dog with golden pelt is in the water,a domestic dog with a golden coat is in the water,entailment,2228
a adult male is walking a adult female through the woods,the adult male and adult female are walking,entailment,2229
a adult male is squatting in brushwood and taking a picture,there is no adult male squatting in brushwood and taking a picture,contradiction,2230
two people wearing helmets are riding over the yellow and white flowers,two people wearing helmets are driving over the yellow and white flowers,entailment,2231
two boys in white outfits and red protective cogwheel are sparring on a mat,two child in white outfits and red protective cogwheel are sparring on a mat,entailment,2232
child in swimming suits are playing in the pool,the child are wearing bathing suits and water is splashing around,neutral,2233
a white bird is swiftly taking off from the water,a white bird is landing swiftly in the water,neutral,2234
men are running a race,some racers are running down a path,neutral,2235
pedestrians and cars are moving through a traffic jam in the big metropolis,a adult male is breaking wooden boards with his hand,neutral,2236
a surfboarder is riding the moving ridge,there is no adult male tying a shoe,neutral,2237
a group of people is on a beach,four people are walking on the beach,neutral,2238
a adult male is talking on the wireless,a adult male is spitting,neutral,2239
the adult male is denying an interview,the adult male is granting an interview,contradiction,2240
the doctors are healing a adult male,the doctors are reviving a adult male,entailment,2241
a adult male dressed in black and white is holding up the lawn tennis racket and is waiting for the ball,a racket is being held by a lawn tennis participant in mid game,neutral,2242
the brown domestic dog is spotting a black domestic dog and is playing in the dry grass,a grey silky domestic dog is lying in the grass and a brown domestic dog is looking on,neutral,2243
a visible light brown domestic dog is running in the water,a visible light brown domestic dog is sprinting in the water,entailment,2244
a blond girl waves while she is riding,a lady is surfing and riding a moving ridge,neutral,2245
four boys are kneeling next to each other in front of a ball,there are no boys kneeling next to each other in front of a ball,contradiction,2246
a adult male is cutting a tree with an ax,a mortal is chopping down a tree with an ax,entailment,2247
a adult male is moving gracefully,a adult male is walking outside,neutral,2248
there is no young male child playing a air current instrument,a young male child is playing a air current instrument,contradiction,2249
a adult female in a bikini is pulling a domestic dog on a lead at the beach,a adult female is standing at the beach with an fauna on a lead,neutral,2250
a motortruck is quickly going down a hill,some water is being casually drunk by a true cat,neutral,2251
a male child who is little is sitting in a green tunnel with a smile on his human face,a small male child in a striped shirt is sliding out of a green tube,neutral,2252
a keyboard is being played by a mortal,a mortal is playing a keyboard,entailment,2253
a young girl with a bosom army tank top is raising her hands as she is playing on a microscope slide,a blond kid is going down a microscope slide and throwing up his arms,neutral,2254
a child in orange is playing outside with a abronia elliptica,a snowfall ball is being made by a kid,neutral,2255
a girl in a black hat is wearing a bikini at the beach,a black girl with no bikini is wearing a hat at the beach,neutral,2256
a little black dog is chasing a little brown dog,a brown dog and a black dog are in the grass,neutral,2257
several young people are posing for a picture and holding beers,several young people are posing for a picture and holding drinks,entailment,2258
a young duet is lying on a bed together,a young duet is not lying in bed,contradiction,2259
a male child is playing on a plaything,the adult male is aiming a gun,neutral,2260
a small male child in a yellow shirt is laughing on the beach,there is no small male child in a yellow shirt laughing on the beach,contradiction,2261
vegetables are being put into a pot by a adult male,someone is pouring ingredients into a pot,entailment,2262
a adult male from the wilderness is on a walking way,a adult male is walking down a route,neutral,2263
a male child in a white tshirt is splashing in shallow water,a male child is running through the water at the beach,neutral,2264
the large brown domestic dog is running outside in the soil,a domestic dog is sitting by a fence on a soil path,neutral,2265
there is no adult male screaming,a adult male is crying,neutral,2266
the motocross rider is standing naked,a biker with a blue jacket black drawers and a white helmet is driving on soil and people are watching,neutral,2267
the girl in the blue and white uniform is cheering,the girl is cheering the adult male in the blue and white uniform,neutral,2268
two dogs are playing by a tree,two dogs are playing by a works,entailment,2269
a bicyclist is biking in a snowy wood at dark,the rider is biking in the snowfall and wearing a red jacket,neutral,2270
a group of asian girls are standing together,two girls are laughing breathlessly and other girls are watching them,neutral,2271
a big true cat is opening a plastic drawer with its paws and is jumping inside,a true cat is opening a drawer and jumping inside,entailment,2272
a person is not stirring vegetables in a pot,a man is mixing vegetables in a pot,neutral,2273
a male child is spanking a adult male with a plastic sword,a male child is spanking a adult female with a plastic sword,neutral,2274
a adult female in a black frock is pulling a cart and is standing in front of two men who are seated on a parkland bench,a male child is wearing a black frock and is carrying a white cross,neutral,2275
there is no panda climbing,a panda is climbing,contradiction,2276
a mortal is strongly whisking eggs in a bowl,one adult female is beating two eggs in the bowl and using a whisk made of wire,neutral,2277
a woman is slicing garlic,a woman is cutting garlic,entailment,2278
a yellow dog is running up a sandy path,a golden retriever is running,neutral,2279
the adult male with brown hair is wearing shades and is sitting listlessly at a table with cans of sal soda and other drinks,a young adult male with brown hair and shades is sitting in front of some cans of sal soda,entailment,2280
the man is putting chicken into the container,a man is putting some food in a box,entailment,2281
a young girl is wearing a blue patterned swim suit of clothes a black and yellow swim cap and has blue swimming goggles on her head,a little girl is wearing a blue patterned swim suit of clothes a black and yellow swim cap and has blue swimming goggles on the head,entailment,2282
two dogs are running and carrying an object in their mouths,a dog is chasing a stick and holding another dog in its mouth,neutral,2283
there is no motorcyclist riding a minibike along a roadway,a motorcyclist is riding a minibike along a roadway,contradiction,2284
a woman is playing the trumpet,a man is playing the trumpet,neutral,2285
a woman is cooking eggs,the woman is cooking something,entailment,2286
a adult male is watering the grass and excitedly playing with a domestic dog,the domestic dog is snapping at some droplets of water,neutral,2287
a adult male is playing a harp,a adult male is harping on about a play,neutral,2288
the crowd is watching a football game game,the crowd is not watching a football game game,contradiction,2289
